Age,Name,Archive,N2O_ppb,sd_N2O_ppb,d15Nbulk_permil,sd_d15Nbulk_permil,SP_permil,sd_SP_permil,d18O_permil,sd_d18O_permil
1264,Styx_icecore,ice core,264.2,3.4,,,,,,
1275,Styx_icecore,ice core,265.4,3.4,,,,,,
1288,Styx_icecore,ice core,261.9,3.4,,,,,,
1295,Styx_icecore,ice core,260.2,3.4,,,,,,
1305,Styx_icecore,ice core,257.4,3.4,,,,,,
1314,Styx_icecore,ice core,260.4,3.4,,,,,,
1321,Styx_icecore,ice core,260.8,3.4,,,,,,
1327,Styx_icecore,ice core,258.1,3.4,,,,,,
1338,Styx_icecore,ice core,262.8,3.4,,,,,,
1361,Styx_icecore,ice core,268.2,3.4,,,,,,
1380,Styx_icecore,ice core,270.0,3.4,,,,,,
1396,Styx_icecore,ice core,268.0,3.4,,,,,,
1409,Styx_icecore,ice core,270.7,3.4,,,,,,
1426,Styx_icecore,ice core,271.8,3.4,,,,,,
1427,Styx_icecore,ice core,272.8,3.4,,,,,,
1443,Styx_icecore,ice core,262.8,3.4,,,,,,
1457,Styx_icecore,ice core,261.5,3.4,,,,,,
1466,Styx_icecore,ice core,266.3,3.4,,,,,,
1473,Styx_icecore,ice core,262.1,3.4,,,,,,
1480,Styx_icecore,ice core,265.0,3.4,,,,,,
1487,Styx_icecore,ice core,266.7,3.4,,,,,,
1496,Styx_icecore,ice core,265.7,3.4,,,,,,
1512,Styx_icecore,ice core,258.5,3.4,,,,,,
1529,Styx_icecore,ice core,257.5,3.4,,,,,,
1544,Styx_icecore,ice core,261.8,3.4,,,,,,
1551,Styx_icecore,ice core,264.5,3.4,,,,,,
1561,Styx_icecore,ice core,263.2,3.4,,,,,,
1569,Styx_icecore,ice core,264.0,3.4,,,,,,
1575,Styx_icecore,ice core,268.4,3.4,,,,,,
1581,Styx_icecore,ice core,264.5,3.4,,,,,,
1585,Styx_icecore,ice core,261.6,3.4,,,,,,
1592,Styx_icecore,ice core,259.1,3.4,,,,,,
1598,Styx_icecore,ice core,259.5,3.4,,,,,,
1608,Styx_icecore,ice core,259.3,3.4,,,,,,
1620,Styx_icecore,ice core,263.1,3.4,,,,,,
1637,Styx_icecore,ice core,264.8,3.4,,,,,,
1638,Styx_icecore,ice core,265.6,3.4,,,,,,
1658,Styx_icecore,ice core,264.1,3.4,,,,,,
1669,Styx_icecore,ice core,267.8,3.4,,,,,,
1679,Styx_icecore,ice core,265.7,3.4,,,,,,
1695,Styx_icecore,ice core,261.9,3.4,,,,,,
1725,Styx_icecore,ice core,267.2,3.4,,,,,,
1730,Styx_icecore,ice core,268.0,3.4,,,,,,
1739,Styx_icecore,ice core,264.5,3.4,,,,,,
1751,Styx_icecore,ice core,265.0,3.4,,,,,,
1761,Styx_icecore,ice core,265.8,3.4,,,,,,
1770,Styx_icecore,ice core,265.7,3.4,,,,,,
1780,Styx_icecore,ice core,264.4,3.4,,,,,,
1792,Styx_icecore,ice core,266.2,3.4,,,,,,
1804,Styx_icecore,ice core,266.3,3.4,,,,,,
1812,Styx_icecore,ice core,265.7,3.4,,,,,,
1821,Styx_icecore,ice core,267.6,3.4,,,,,,
1826,Styx_icecore,ice core,269.3,3.4,,,,,,
1836,Styx_icecore,ice core,270.5,3.4,,,,,,
1845,Styx_icecore,ice core,269.5,3.4,,,,,,
1863,Styx_icecore,ice core,271.2,3.4,,,,,,
1869,Styx_icecore,ice core,271.3,3.4,,,,,,
1879,Styx_icecore,ice core,273.2,3.4,,,,,,
1887,Styx_icecore,ice core,275.0,3.4,,,,,,
1896,Styx_icecore,ice core,277.0,3.4,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
